brand,name,pack_label,pack_qty,price,regular_price,sale_price,discount,discount_pct,on_sale,price_is_range,currency,sku,in_stock,purchasable,backorder,stock_qty,url
A.J. Fernandez,91+ Rated Charcuterie Board Sampler (Size Varies / Pack of 20),,20,89.98,252.0,89.98,162.02,64.3,True,False,USD,CIGAR-295061-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/91-rated-charcuterie-board-sampler-size-varies-pack-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Bull Robusto (5&#215;54 / Box of 20),,20,89.98,190.0,89.98,100.02,52.6,True,False,USD,AJFER-294300-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-bull-robusto-5x54-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Gran Toro (6&#215;60 / Box of 20),,20,98.98,210.0,98.98,111.02,52.9,True,False,USD,AJFER-287449-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-gran-toro-6x60-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Toro (6&#215;52 / Box of 20),,20,89.98,190.0,89.98,100.02,52.6,True,False,USD,,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-toro-6x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Connecticut Robusto (5&#215;52 / Box of 20),,20,79.98,180.0,79.98,100.02,55.6,True,False,USD,AJFER-285141-21,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-connecticut-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Robusto (5&#215;52 / Box of 20),,20,79.98,180.0,79.98,100.02,55.6,True,False,USD,AJFER-285141-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-maduro-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez Summer Camp Sampler (Mixed Sizes / Pack of 20),,20,79.98,200.0,79.98,120.02,60.0,True,False,USD,AJFER-284281-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/aj-fernandez-summer-camp-sampler-mixed-sizes-pack-of-20/
A.J. Fernandez,A.J. Fernandez Enclave Eladio Diaz Toro (6&#215;54 / Box of 20),,20,79.98,190.0,79.98,110.02,57.9,True,False,USD,AJFER-181841-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez-enclave-eladio-diaz-toro-6x54-box-of-20/
A.J. Fernandez,AJ Fernandez New World Cameroon Torpedo (6.5 x 52 / Box of 20) + Free Shipping!,,20,79.98,156.0,79.98,76.02,48.7,True,False,USD,AJFER-159702-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-torpedo-6-5-x-52-box-of-20-free-shipping/
A.J. Fernandez,AJ Fernandez New World Dorado Toro (6&#215;54 / Box of 10) + Free Shipping!,,10,69.98,132.0,69.98,62.02,47.0,True,False,USD,AJFER-87121-10,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/
A.J. Fernandez,AJ Fernandez New World Connecticut Belicoso (6&#215;54 / Box of 20),,20,89.98,200.0,89.98,110.02,55.0,True,False,USD,AJFER-86351-20,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-connecticut/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/
A.J. Fernandez,AJ Fernandez New World Cameroon Churchill (7&#215;48 / Box of 20) + Free Shipping!,,20,79.98,156.0,79.98,76.02,48.7,True,False,USD,AJFER-79864-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/
A.J. Fernandez,AJ Fernandez New World Puro Especial Robusto (5.5&#215;52 / Box of 20) + Free Shipping!,,20,79.98,182.0,79.98,102.02,56.1,True,False,USD,AJFER-68674-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-puro-especial/new-a-j-fernandez-new-world-puro-especial-robusto-20/
A.J. Fernandez,New World By AJ Fernandez Maduro Robusto (5.5&#215;55 / Box of 21),,21,94.5,189.0,94.5,94.5,50.0,True,False,USD,AJFER-61022-21,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-by-aj-fernandez-maduro-robusto-21/
A.J. Fernandez,AJ Fernandez New World Cameroon Double Robusto (5.5&#215;54 / Box of 20) + Free Shipping!,,20,79.98,150.0,79.98,70.02,46.7,True,False,USD,AJFER-52765-20,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/
A.J. Fernandez,A.J. Fernandez Enclave Habano Robusto (5&#215;52 / Box of 20),,20,79.98,170.0,79.98,90.02,53.0,True,False,USD,AJ-BLUE ENCLAVE-BOX,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-enclave-toro/
A.J. Fernandez,AJ Fernandez New World Oscuro Toro (6.5&#215;55 / Box of 21),,21,99.98,206.0,99.98,106.02,51.5,True,False,USD,AJFER-9753-21,True,True,False,,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-gobernador-toro/
Aganorsa Leaf,Aganorsa Leaf Connecticut Lovers Summertime Sampler (Size Varies / Pack of 20),,20,79.98,176.0,79.98,96.02,54.6,True,False,USD,AGANO-292502-20,True,True,False,In stock,https://www.hilandscigars.com/shop/cigars/agranorsa-leaf-connecticut-lovers-summertime-sampler-size-varies-pack-of-20/
